timestamp,total_gas_consumption,peak_power,actual_consumption,total_consumption_day,total_consumption_night,actual_injection,total_injection_day,total_injection_night
240815231231,2702.727,11.744,.399,9303.297,8071.823,.000,2280.634,889.889
240815231259,2702.727,11.744,.397,9303.297,8071.826,.000,2280.634,889.889
240815231300,2702.727,11.744,.397,9303.297,8071.826,.000,2280.634,889.889
240815231301,2702.727,11.744,.399,9303.297,8071.826,.000,2280.634,889.889
240815231329,2702.727,11.744,.397,9303.297,8071.829,.000,2280.634,889.889
240815231330,2702.727,11.744,.396,9303.297,8071.829,.000,2280.634,889.889
240815231331,2702.727,11.744,.401,9303.297,8071.829,.000,2280.634,889.889
240815231359,2702.727,11.744,.360,9303.297,8071.832,.000,2280.634,889.889
240815231400,2702.727,11.744,.362,9303.297,8071.832,.000,2280.634,889.889
240815231401,2702.727,11.744,.361,9303.297,8071.832,.000,2280.634,889.889
240815231430,2702.727,11.744,.362,9303.297,8071.835,.000,2280.634,889.889
240815231431,2702.727,11.744,.360,9303.297,8071.835,.000,2280.634,889.889
240815231500,2702.727,11.744,.360,9303.297,8071.838,.000,2280.634,889.889
240815231501,2702.727,11.744,.359,9303.297,8071.838,.000,2280.634,889.889
240815231502,2702.727,11.744,.361,9303.297,8071.838,.000,2280.634,889.889
240815231540,2702.727,11.744,.360,9303.297,8071.842,.000,2280.634,889.889
240815231541,2702.727,11.744,.360,9303.297,8071.842,.000,2280.634,889.889
240815231542,2702.727,11.744,.360,9303.297,8071.842,.000,2280.634,889.889
240815231610,2702.727,11.744,.364,9303.297,8071.845,.000,2280.634,889.889
240815231611,2702.727,11.744,.363,9303.297,8071.845,.000,2280.634,889.889
240815231612,2702.727,11.744,.360,9303.297,8071.846,.000,2280.634,889.889
240815231640,2702.727,11.744,.357,9303.297,8071.848,.000,2280.634,889.889
240815231641,2702.727,11.744,.359,9303.297,8071.848,.000,2280.634,889.889
240815231642,2702.727,11.744,.360,9303.297,8071.849,.000,2280.634,889.889
240815231710,2702.727,11.744,.375,9303.297,8071.851,.000,2280.634,889.889
240815231711,2702.727,11.744,.378,9303.297,8071.852,.000,2280.634,889.889
240815231712,2702.727,11.744,.375,9303.297,8071.852,.000,2280.634,889.889
240815231740,2702.727,11.744,.376,9303.297,8071.855,.000,2280.634,889.889
240815231741,2702.727,11.744,.378,9303.297,8071.855,.000,2280.634,889.889
240815231742,2702.727,11.744,.376,9303.297,8071.855,.000,2280.634,889.889
240815231810,2702.727,11.744,.358,9303.297,8071.858,.000,2280.634,889.889
240815231811,2702.727,11.744,.361,9303.297,8071.858,.000,2280.634,889.889
240815231812,2702.727,11.744,.358,9303.297,8071.858,.000,2280.634,889.889
240815231840,2702.727,11.744,.358,9303.297,8071.861,.000,2280.634,889.889
240815231841,2702.727,11.744,.359,9303.297,8071.861,.000,2280.634,889.889
240815231842,2702.727,11.744,.356,9303.297,8071.861,.000,2280.634,889.889
240815231910,2702.727,11.744,.357,9303.297,8071.864,.000,2280.634,889.889
240815231911,2702.727,11.744,.358,9303.297,8071.864,.000,2280.634,889.889
240815231912,2702.727,11.744,.358,9303.297,8071.864,.000,2280.634,889.889
240815231940,2702.727,11.744,.359,9303.297,8071.867,.000,2280.634,889.889
240815231941,2702.727,11.744,.357,9303.297,8071.867,.000,2280.634,889.889
240815231942,2702.727,11.744,.359,9303.297,8071.867,.000,2280.634,889.889
240815232011,2702.727,11.744,.358,9303.297,8071.870,.000,2280.634,889.889
240815232012,2702.727,11.744,.359,9303.297,8071.870,.000,2280.634,889.889
240815232041,2702.727,11.744,.358,9303.297,8071.873,.000,2280.634,889.889
240815232042,2702.727,11.744,.359,9303.297,8071.873,.000,2280.634,889.889
240815232043,2702.727,11.744,.358,9303.297,8071.873,.000,2280.634,889.889
240815232121,2702.727,11.744,.373,9303.297,8071.877,.000,2280.634,889.889
240815232122,2702.727,11.744,.371,9303.297,8071.877,.000,2280.634,889.889
240815232123,2702.727,11.744,.357,9303.297,8071.877,.000,2280.634,889.889
240815232151,2702.727,11.744,.373,9303.297,8071.880,.000,2280.634,889.889
240815232152,2702.727,11.744,.370,9303.297,8071.880,.000,2280.634,889.889
240815232153,2702.727,11.744,.356,9303.297,8071.880,.000,2280.634,889.889
240815232221,2702.727,11.744,.374,9303.297,8071.883,.000,2280.634,889.889
240815232222,2702.727,11.744,.374,9303.297,8071.883,.000,2280.634,889.889
240815232223,2702.727,11.744,.375,9303.297,8071.883,.000,2280.634,889.889
240815232251,2702.727,11.744,.376,9303.297,8071.886,.000,2280.634,889.889
240815232252,2702.727,11.744,.373,9303.297,8071.886,.000,2280.634,889.889
240815232253,2702.727,11.744,.360,9303.297,8071.886,.000,2280.634,889.889
240815232321,2702.727,11.744,.373,9303.297,8071.889,.000,2280.634,889.889
240815232322,2702.727,11.744,.374,9303.297,8071.889,.000,2280.634,889.889
240815232323,2702.727,11.744,.375,9303.297,8071.889,.000,2280.634,889.889
240815232351,2702.727,11.744,.374,9303.297,8071.892,.000,2280.634,889.889
240815232352,2702.727,11.744,.367,9303.297,8071.892,.000,2280.634,889.889
